# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1279.82
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:phi_prime             11:H_T_Nb_prime          12:k2gamma_Nb            13:t_g                   14:t_b                   15:t_cdm                 16:t_ur                  17:shear_g               18:pol0_g                19:pol2_g                20:t_tot              
       1.042057218184e-05      -1.417733457614e+00      -1.063300093210e+00      -1.063300093211e+00      -1.417733457614e+00      -1.063300093211e+00      -1.160144486794e+00       6.455667794018e-01       6.008589983386e-01      -1.098879107740e-04       8.133564577036e-09      -4.076118617689e-11       3.347981094980e-09       3.347981187201e-09       3.347987478155e-09       3.347977146685e-09       2.885599501367e-09       6.460958831896e-09       1.292191766454e-09       3.347984149648e-09 
       1.311872312515e-05      -1.417721110595e+00      -1.063290832946e+00      -1.063290832946e+00      -1.417721110595e+00      -1.063290832946e+00      -1.160134383110e+00       6.455699502681e-01       6.008619663275e-01      -1.098876491394e-04      -1.782237091226e-08       9.774599545646e-11       5.306232122788e-09       5.306231832246e-09       5.306218031236e-09       5.306237322022e-09       4.573400337415e-09       1.024000329289e-08       2.048000658767e-09       5.306224890163e-09 
       1.651549391254e-05      -1.417720749735e+00      -1.063290562302e+00      -1.063290562300e+00      -1.417720749736e+00      -1.063290562301e+00      -1.160134087815e+00       6.455701737901e-01       6.008621859781e-01      -1.098875097638e-04      -1.885679763114e-08       1.052832823798e-10       8.409815744219e-09       8.409815253407e-09       8.409791744474e-09       8.409823473177e-09       7.248354951840e-09       1.622932016001e-08       3.245864032475e-09       8.409803272846e-09 
       2.079177497483e-05      -1.417727552025e+00      -1.063295664019e+00      -1.063295664017e+00      -1.417727552025e+00      -1.063295664017e+00      -1.160139654196e+00       6.455686844950e-01       6.008607237709e-01      -1.098823146321e-04      -7.922118621808e-09       5.076296347076e-11       1.332864281878e-08       1.332864243337e-08       1.332861714991e-08       1.332864702703e-08       1.148785588243e-08       2.572171336044e-08       5.144342673275e-09       1.332862894069e-08 
       2.617529387212e-05      -1.417722243291e+00      -1.063291682468e+00      -1.063291682466e+00      -1.417722243291e+00      -1.063291682466e+00      -1.160135310001e+00       6.455703465299e-01       6.008624287551e-01      -1.098970467686e-04      -1.084792544458e-08       7.142660563994e-11       2.112444046670e-08       2.112443968107e-08       2.112439350168e-08       2.112443939966e-08       1.820698982945e-08       4.076608452243e-08       8.153216907470e-09       2.112441386973e-08 
       3.295274261680e-05      -1.417720492843e+00      -1.063290369632e+00      -1.063290369629e+00      -1.417720492840e+00      -1.063290369629e+00      -1.160133877589e+00       6.455713148458e-01       6.008634397230e-01      -1.099048515316e-04      -1.070698928334e-08       7.891990120351e-11       3.347995759851e-08       3.347995632405e-08       3.347988370882e-08       3.347993486075e-08       2.885610949099e-08       6.460983006601e-08       1.292196602070e-08       3.347991287535e-08 
       4.148504506860e-05      -1.417730268366e+00      -1.063297701274e+00      -1.063297701272e+00      -1.417730268356e+00      -1.063297701272e+00      -1.160141877003e+00       6.455697120751e-01       6.008618643868e-01      -1.098889747051e-04      -8.779306869283e-10       4.002088766227e-11       5.306226593060e-08       5.306226518323e-08       5.306220233442e-08       5.306216696102e-08       4.573395755671e-08       1.023999464135e-07       2.047998930152e-08       5.306221663685e-08 
       5.222657744628e-05      -1.417741495683e+00      -1.063306121762e+00      -1.063306121767e+00      -1.417741495655e+00      -1.063306121766e+00      -1.160151064435e+00       6.455682383135e-01       6.008604676152e-01      -1.098791452900e-04       1.487914269172e-08      -2.257649610679e-11       8.409803488746e-08       8.409803700537e-08       8.409807393517e-08       8.409771232443e-08       7.248346987431e-08       1.622930620334e-07       3.245861245398e-08       8.409801300512e-08 
       6.574936551816e-05      -1.417755235567e+00      -1.063316426675e+00      -1.063316426709e+00      -1.417755235484e+00      -1.063316426704e+00      -1.160162307930e+00       6.455669161027e-01       6.008593469728e-01      -1.098818702654e-04       4.217490273535e-08      -1.340634661153e-10       1.332858534192e-07       1.332858665156e-07       1.332863444365e-07       1.332848294927e-07       1.148781846035e-07       2.572159170810e-07       5.144318353498e-08       1.332859907188e-07 
       8.277354706016e-05      -1.417783022220e+00      -1.063337266666e+00      -1.063337266804e+00      -1.417783021987e+00      -1.063337266782e+00      -1.160185046070e+00       6.455633179088e-01       6.008561389425e-01      -1.098814156421e-04       9.506704149636e-08      -3.616695613604e-10       2.112421511343e-07       2.112422019663e-07       2.112442415680e-07       2.112391630782e-07       1.820682918507e-07       4.076565720523e-07       8.153131470884e-08       2.112429223057e-07 
       1.042057218184e-04      -1.417820868632e+00      -1.063365651477e+00      -1.063365651864e+00      -1.417820868030e+00      -1.063365651803e+00      -1.160216016278e+00       6.455591632451e-01       6.008524775574e-01      -1.098805903659e-04       1.660279022620e-07      -6.543851706500e-10       3.347930904078e-07       3.347932337999e-07       3.347991757600e-07       3.347852104180e-07       2.885562018224e-07       6.460865061459e-07       1.292173019787e-07       3.347954465490e-07 
       1.311872312515e-04      -1.417860319836e+00      -1.063395239885e+00      -1.063395240863e+00      -1.417860318326e+00      -1.063395240709e+00      -1.160248299849e+00       6.455577112822e-01       6.008517715064e-01      -1.099033312324e-04       2.495475114244e-07      -9.653059851404e-10       5.306048090846e-07       5.306051498325e-07       5.306195288455e-07       5.305852693809e-07       4.573255004879e-07       1.023965493778e-06       2.047931006382e-07       5.306104423111e-07 
       1.651549391254e-04      -1.417925762655e+00      -1.063444322011e+00      -1.063444324488e+00      -1.417925758844e+00      -1.063444324099e+00      -1.160301853020e+00       6.455546806451e-01       6.008498941586e-01      -1.099359754102e-04       3.861485967955e-07      -1.480457884454e-09       8.409351851036e-07       8.409360224916e-07       8.409719560823e-07       8.408859816102e-07       7.247978789640e-07       1.622844689031e-06       3.245689425352e-07       8.409492023516e-07 
       2.079177497483e-04      -1.418033494515e+00      -1.063525120936e+00      -1.063525127068e+00      -1.418033484974e+00      -1.063525126105e+00      -1.160390012688e+00       6.455488739106e-01       6.008458487996e-01      -1.099701227268e-04       6.006491042003e-07      -2.286379858180e-09       1.332756204978e-06       1.332758264253e-06       1.332846814735e-06       1.332633355402e-06       1.148697040925e-06       2.571969336215e-06       5.143938791212e-07       1.332790526413e-06 
       2.617529387212e-04      -1.418205009396e+00      -1.063653757173e+00      -1.063653772570e+00      -1.418204985412e+00      -1.063653770152e+00      -1.160530369124e+00       6.455394765506e-01       6.008393214257e-01      -1.100362386702e-04       9.493363294429e-07      -3.609865008704e-09       2.112175414450e-06       2.112180575284e-06       2.112402488046e-06       2.111866712555e-06       1.820477705560e-06       4.076110826675e-06       8.152221951705e-07       2.112261312344e-06 
       3.295274261680e-04      -1.418483442272e+00      -1.063862582021e+00      -1.063862620813e+00      -1.418483381973e+00      -1.063862614720e+00      -1.160758223910e+00       6.455229291986e-01       6.008273175452e-01      -1.101286266544e-04       1.508459313132e-06      -5.741894947116e-09       3.347321415204e-06       3.347334420425e-06       3.347894171297e-06       3.346545246720e-06       2.885053493671e-06       6.459739953572e-06       1.291948065652e-06       3.347538416083e-06 
